Model,Temperature,Turn,Prompt_mode,seller_payoff,buyer_payoff,accepted_threshold,expressive_level,display_rule,face_only,Turn = 1,Turn = 2,Turn = 3,Turn = 4,Turn = 5,ranking_response,Turn = 6,Final_response,i,Turn = 7,Turn = 8,Turn = 9,Turn = 10,Turn = 11
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-4-6,7-3-7,8-2-8,9-1-9,price < warranty < service,5-2-5,reject,0,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-2-2,reject,1,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-2-2,reject,2,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,7-6-7,7-7-6,price < warranty < service,7-7-7,190,3,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-3-2,reject,4,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,5,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,1-1-1,reject,6,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,warranty < service < price,2-2-2,reject,7,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,1-1-1,price < warranty < service,2-2-2,reject,8,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-7,240,9,,,,,
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-8,240,0,6-7-7,6-6-7,6-7-8,6-7-7,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-8,reject,1,6-8-8,5-8-8,5-8-7,5-7-7,5-7-6
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-6,190,2,7-7-6,7-6-7,7-7-7,7-6-6,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-6,190,3,7-7-6,7-6-6,7-7-7,7-6-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-8,240,4,6-7-7,6-6-7,6-7-8,6-7-7,6-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,3-3-3,price < warranty < service,4-4-4,190,5,5-5-5,6-6-6,7-7-7,7-7-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,4-4-4,3-3-3,2-2-2,3-4-5,price < warranty < service,4-3-6,reject,6,5-2-7,6-3-5,5-4-6,4-5-7,3-6-8
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-6,190,7,7-7-6,7-6-6,7-7-7,7-6-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service duration,6-7-6,190,8,7-7-6,7-6-6,7-7-7,7-6-7,7-7-7
gpt-4-0125-preview,0.5,10,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,1.0,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,warranty < service < price,6-7-8,240,9,6-7-7,6-6-7,6-7-8,6-7-7,6-7-7
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,4-4-4,3-6-6,4-5-5,3-4-4,warranty < service < price,2-3-3,reject,0,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-7,240,1,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-7,240,2,,,,,
gpt-4-0125-preview,0.5,5,implicit,"[50, 15, 30]","[10, 40, 25]",0.7,0.25,happy-angry,False,5-5-5,6-6-6,7-7-7,6-7-7,6-6-7,price < warranty < service,6-7-7,240,3,,,,,
